Tytuł kanału,Kraj,Liczba subskrybentów,Channel_id
Foil Arms and Hog,IE,923000,UCzb-6smlTg5UPirLdsdQ_cQ
Economics Explained,US,2390000,UCZ4AMrDcNrfy3X6nsU8-rPg
The Infographics Show,US,13600000,UCfdNM3NAhaBOXCafH7krzrA
The Military Show,US,664000,UCKfak8fBm_Lhy4eX9UKxEpA
Econ,IN,91600,UCyHJ94JzwY92NsBVzJ2aE3Q
The Military Show,US,664000,UCKfak8fBm_Lhy4eX9UKxEpA
PLANET KRAKOW,PL,5800,UCL9QCO5vimeOw2VLh3xdWQw
Sammy and Tommy,US,84400,UCd1DAfDaPdUbQQhqcQKfQJw
UBA,IL,5730,UCVuGm5jBEnfmytM5zT8jGBg
Joyous Travel,SE,148000,UCy_b-3y4ua9H5GPwIosu0OA
Sammy and Tommy,US,84400,UCd1DAfDaPdUbQQhqcQKfQJw
Lonely Planet,US,246000,UCPsil91i8gN0XLIbwl3vqsw
Binkov's Battlegrounds,HR,832000,UCPdk3JuQGxOCMlZLLt4drhw
Netflix Polska,Brak danych o kraju,644000,UCwAiG5lj7w24SbgPy6eiYvg
touropia,Brak danych o kraju,1300000,UCh3Rpsdv1fxefE0ZcKBaNcQ
Sammy and Tommy,US,84400,UCd1DAfDaPdUbQQhqcQKfQJw
The Infographics Show,US,13600000,UCfdNM3NAhaBOXCafH7krzrA
Microsoft,US,1280000,UCFtEEv80fQVKkD4h1PF-Xqw
MSNBC,Brak danych o kraju,6230000,UCaXkIU1QidjPwiAYu6GcHjg
MSNBC,Brak danych o kraju,6230000,UCaXkIU1QidjPwiAYu6GcHjg
Bloomberg Television,Brak danych o kraju,1700000,UCIALMKvObZNtJ6AmdCLP7Lg
Habitual Linecrosser,US,406000,UC6ysC3YUZbjScBKZlNLrmtQ
Scenic Hunter,US,35400,UCDQ0pYBbR3rGWnn-BZJ9lXA
EU Made SIMPLE,DE,62200,UC8KFs307LrTkQCu-P1Fl6dw
Tomasz Slowinski,PL,58700,UCM54Wqxm2eppWP6VOHmyG6A
The Infographics Show,US,13600000,UCfdNM3NAhaBOXCafH7krzrA
Junior Eurovision Song Contest,CH,814000,UC-lkYjunAyfultKGuRJz6HQ
CNN,Brak danych o kraju,15800000,UCupvZG-5ko_eiXAupbDfxWw
Wolters World,US,1010000,UCFr3sz2t3bDp6Cux08B93KQ
Rick Steves' Europe,US,1740000,UCchgIh8Tc4sTmBfnMQ5pDdg
CNN,Brak danych o kraju,15800000,UCupvZG-5ko_eiXAupbDfxWw
Anders Puck Nielsen,DK,128000,UCPPfK7Nq_yQR84rn1wcTXBg
Get.factual,DE,368000,UCvD34fvRZ3QHWSkU1aUM99w
PLANET KRAKOW,PL,5800,UCL9QCO5vimeOw2VLh3xdWQw
Good Times Bad Times,PL,279000,UCXW9oUSOwt7mcTT5d_5hQcA
POLAND ON AIR ,PL,23500,UCeHvFc-vcuWf69VXizY2Cvg
Polish Eagle,PL,69600,UCMDgEbDorYbcouC0xog_wjw
Overly Sarcastic Productions,US,2200000,UCodbH5mUeF-m_BsNueRDjcw
