Tytuł,Data publikacji,Liczba wyświetleń,Liczba polubień,Liczba komentarzy,Tagi filmu,Kategorie filmu,Channel_id,Długość filmu,Informacje o lokalizacji,Rodzaj filmu,video_id
Getting Past Polish Immigration,2023-11-09T08:00:31Z,299271,18467,1173,"['Foil Arms and Hog', 'sketch comedy', 'comedy', 'poland', 'immigration', 'getting past immigration', 'getting past Polish Immigration', 'polsih', 'foil arms and hog Immigration', 'getting past Russian Immigration', 'foil arms and hog poland', 'Poland immigration']",23,UCzb-6smlTg5UPirLdsdQ_cQ,PT2M2S,{},hd,flwcUmS_8Ws
Could Poland Become The Next Germany? | Economics Explained,2023-10-08T15:05:13Z,461061,12698,1939,"['economics', 'economics explained', 'economy explained', 'hubspot', 'poland', 'economy of poland', 'poland ukraine', 'poland russia', 'poland europe', ""poland's economy"", 'poland economics explained', 'german economy', 'germany europe']",27,UCZ4AMrDcNrfy3X6nsU8-rPg,PT19M17S,{},hd,p9Tnjr3Lluk
How Poland is Becoming Europe's Next Military Superpower,2023-09-10T19:15:01Z,477721,13108,1924,[],27,UCfdNM3NAhaBOXCafH7krzrA,PT27M2S,{},hd,pEeAAyIFf8Y
Could the Russian Military Conquer Poland on Its Own,2023-10-31T22:00:11Z,357857,4706,1368,"['us', 'military', 'us military', 'us navy', 'us airforce', 'united states', 'united states military', 'marine corp', 'navy', 'army', 'us army', 'air force']",28,UCKfak8fBm_Lhy4eX9UKxEpA,PT19M51S,{},hd,H-KH0vls1zU
Poland's Path to Becoming the Next Advanced Economy | Economy of Poland | Econ,2023-10-20T11:52:27Z,189518,3857,1118,"['economy of poland', 'poland economics explained', 'economics of poland', 'poland economic growth', 'why poland is so rich', 'how strong is poland economy', 'how good is poland economy', 'poland vs germany economy', 'poland economic power', 'polish economic strategies', 'why is poland economy so strong', 'polish economic miracle', 'poland next superpower', 'poland vs russia economy', 'why is poland economy growing', 'economic history of poland', 'is poland richer than russia', 'europe vs poland economy', 'econ']",27,UCyHJ94JzwY92NsBVzJ2aE3Q,PT12M46S,{},hd,gzbtAJ7x_mg
How Poland is Becoming Europe's Next Military Superpower,2023-10-02T21:30:10Z,133397,3470,823,"['us', 'military', 'us military', 'us navy', 'us airforce', 'united states', 'united states military', 'marine corp', 'navy', 'army', 'us army', 'air force']",28,UCKfak8fBm_Lhy4eX9UKxEpA,PT20M20S,{},hd,sbgDxfohCFY
Polish Independence Day | KRAKÓW | 11 Listopada 2023 | Obchody Święta Niepodległości w Krakowie,2023-11-11T22:27:24Z,78272,2285,224,"['Poland Independence Day', 'Polish Independence Day', 'Obchody Święta Niepodległości w Krakowie', 'Obchody Święta Niepodległości']",19,UCL9QCO5vimeOw2VLh3xdWQw,PT29M34S,{},hd,1wd4PWX1kng
"Is Gdańsk the MOST BEAUTIFUL City in Poland?! (48 Hours in Gdańsk, Poland) 🇵🇱",2023-09-24T13:00:17Z,51895,1546,168,"['gdansk', 'gdańsk', 'gdansk travel', 'Gdansk Poland', 'gdansk tourism', 'visit gdańsk', 'Poland Gdańsk', 'Poland', 'Gdańsk vlog', 'gdansk beach', 'Gdańsk polska', 'Gdańsk Poland vlog', 'is Gdańsk worth visiting', 'gdańsk travel', 'gdansk poland', 'things to do in gdańsk', 'gdańsk things to do', 'gdansk things to do', 'gdańsk travel guide', 'gdańsk tour', 'gdansk attractions', 'gdansk city guide', 'gdańsk guide', 'gdańsk city tour', 'gdansk trip', 'poland travel', 'gdansk itinerary', 'gdansk city', 'gdansk what to do']",19,UCd1DAfDaPdUbQQhqcQKfQJw,PT21M5S,"{'latitude': 54.3520252, 'longitude': 18.6466384, 'altitude': 0}",hd,HuF6Qe2WJlU
CO IZRAELCZYCY MYŚLĄ O POLSCE I POLAKACH? 2 sonda uliczna w Izraelu. Polskie tłumaczenie i napisy,2023-06-24T12:00:07Z,30377,935,686,"['UBA', 'Izrael', 'Polska', 'historia', 'Sonda uliczna', 'opinia o Polakach', 'co myślą o Polakach', 'Co niemcy myślą o polakach', 'Noa Kirel o Polsce', 'Co izraelczycy myślą o Polsce', 'Izrael Polska relacje', 'Polacy pochodzenia żydowskiego', 'Co Żydzi myślą o Polakach', 'obcokrajowcy o Polsce', 'Polska oczami obcokrajowców', 'Polska opinia na świecie', 'język polski obcokrajowcy', 'izrael sonda uliczna', 'Co muzułmanie myślą o polsce', 'polacy za granicą', 'Yair Lapid', 'polskie napisy', 'polskie tłumaczenie', 'nergal', 'sonda']",19,UCVuGm5jBEnfmytM5zT8jGBg,PT10M40S,{},hd,uBO0ITtbj1Q
Amazing Places to visit in Poland | Best Places to Visit in Poland - Travel Video,2021-06-09T21:02:25Z,1528936,30948,1723,"['best places', 'places', 'travel video', 'amazing places', 'Best Places to Visit', 'Places to Visit', 'virtual tours', 'poland', 'poland travel', 'poland tourism', 'Tatra National Park', 'Wroclaw', 'Gdansk', 'Warsaw', 'Krakow', 'Poland', 'Poland Travel Guide', 'Poland 4k', 'Where to visit in Poland', 'Poland Travel', 'Top places in poland', 'Sopot', 'Zakopane', 'Torun', 'Zalipie Village', 'Crooked Forest', 'Tourist destination']",19,UCy_b-3y4ua9H5GPwIosu0OA,PT10M50S,"{'latitude': 51.919438, 'longitude': 19.145136, 'altitude': 0}",hd,-88MfJr4-dg
